company_name,address,email,phone,website,license_id,license_type
GOURMET ON TOUR PTE. LTD.,5 THOMSON LANE #30-01 SINGAPORE 297724,info@gourmetontour.com,+6588180581,https://www.gourmetontour.com,TA03722,General
GOWHERE AI PTE. LTD.,300 TAMPINES AVENUE 5 #09-02 INCOME AT TAMPINES JUNCTION SINGAPORE 529653,jack@gowhere.ai,+6563584231,,TA03938,General
GQLB8625 PTE. LTD.,71 TOH GUAN ROAD EAST #01-01 TCH TECHCENTRE SINGAPORE 608598,gqlb8625@gmail.com,+6589260519,,TA03981,General
GRABSERVICES PTE. LTD.,6 RAFFLES BOULEVARD #03-308 MARINA SQUARE SINGAPORE 039594,grabservices@grab.com,+6581348272,,TA03872,General
GRASSLAND COACH (S) PTE. LTD.,601 MACPHERSON ROAD #03-13 SINGAPORE 368242,sally.mokgrassland@gmail.com,+6562929009,,TA00112,General
GREEN ISLAND TOURS (S) PTE LTD,10 ANSON ROAD #46-16 INTERNATIONAL PLAZA SINGAPORE 079903,info@greenisland.com.sg,+6562242112,,TA00247,General
GSA TRAVEL PTE LTD,63 HILLVIEW AVENUE #07-02 LAM SOON INDUSTRIAL BUILDING SINGAPORE 669569,gsasin@singnet.com.sg,+6563232028,,TA00854,General
GURU TRAVELS PTE LTD,14 ROBERTS LANE #01-00 SINGAPORE 218293,gurutnt@gmail.com,+6562979132,,TA00987,General
GVS HOLIDAYS PTE. LTD.,90 ST FRANCIS ROAD #06-02 ST FRANCIS COURT SINGAPORE 328071,gvsholidays@singnet.com.sg,+6565995877,https://www.gvsholiday.com,TA01998,General
H-YULIN INTERNATIONAL PTE. LTD.,114 LAVENDER STREET #12-78 CT HUB 2 SINGAPORE 338729,cashew_999@outlook.com,+6582077683,,TA03686,General
H.I.S. GLOBAL TRAVEL PTE. LTD.,100 TRAS STREET #17-02 100 AM SINGAPORE 079027,info.mle@his-world.com,+6563256137,,TA01394,General
H.I.S. INTERNATIONAL MANAGEMENT PTE. LTD.,100 TRAS STREET #17-02 100 AM SINGAPORE 079027,info-him@his-world.com,+6563256137,,TA03787,General
H.I.S. INTERNATIONAL TRAVEL PTE LTD,100 TRAS STREET #17-01 100 AM SINGAPORE 079027,sin.info@his-world.com,+6562221230,https://his.com.sg/,TA00872,General
H&Z TRAVEL & TOURS,156 ANG MO KIO AVENUE 4 #05-724 YIO CHU KANG GROVE SINGAPORE 560156,enquiries@hnztraveltour.com,+6584247719,,TA03823,General
HA ACADEMY (FORMERLY HIGH ACHIEVERS) PTE. LTD.,1 COMMONWEALTH LANE #06-29 ONE COMMONWEALTH SINGAPORE 149544,hello@ha-academy.com,+65,,TA03825,General
GETAWAY TOURS PTE. LTD.,16 JALAN TENTERAM #20-108 SINGAPORE 321016,chanhc88@gmail.com,+6594893222,,TA01453,General
GH TRAVEL PTE. LTD.,70 TANAH MERAH KECHIL AVENUE #09-37 CASA MERAH SINGAPORE 465534,services@ghtravelsg.com,+6566460771,,TA03299,General
GIAMSO INTERNATIONAL TOURS PTE LTD,133 NEW BRIDGE ROAD #13-08 CHINATOWN POINT SINGAPORE 059413,contact@giamso.com.sg,+6560271122,https://site.giamso.com.sg,TA00354,General
GLOBAL ACADEMIC VENTURES STUDY ABROAD PTE. LTD.,14 ROBINSON ROAD #08-01A FAR EAST FINANCE BUILDING SINGAPORE 048545,sgp@globalacademicventures.com,+6568238246,,TA03907,General
GLOBAL BUSINESS TRAVEL (SINGAPORE) PTE. LTD.,80 BENDEMEER ROAD #08-02   SINGAPORE 339949,gbtsg@amexgbt.com,+6569398445,,TA00018,General
GLOBAL EVENTS MANAGEMENT AND TRAVEL PRIVATE LIMITED,10 RAEBURN PARK #02-08 SINGAPORE 088702,enquiry@gemt.global,+6588394763,https://www.gemt.global,TA02979,General
GLOBAL HOLIDAYS PTE. LTD.,238 THOMSON ROAD #03-08 NOVENA SQUARE SINGAPORE 307683,corporate@globalholidays.com.sg,+6568222110,https://www.globalholidays.com.sg/,TA01361,General
GLOBAL INTERNATIONAL TRAVEL PTE. LTD.,62 UBI ROAD 1 #06-24 OXLEY BIZHUB 2 SINGAPORE 408734,chrisng@git.com.sg,+6591700651,,TA02589,General
GLOBAL LZ GROUP PTE. LTD.,180B BENCOOLEN STREET #04-01 THE BENCOOLEN SINGAPORE 189648,lzgroup.globaltravel@gmail.com,+6588029727,,TA03927N,Niche
GLOBAL SINGAPORE ASSOCIATES PTE. LTD.,20 UPPER CIRCULAR ROAD #B1-25 THE RIVERWALK SINGAPORE 058416,info@globalsingapore.sg,+6593877672,https://www.globalsingapore.sg,TA02397,General
GLOBAL TRAVEL EXPERTS PTE. LTD.,111 NORTH BRIDGE ROAD #02-06 PENINSULA PLAZA SINGAPORE 179098,info@gtetravel.com.sg,+6596608702,https://www.gte-travel.com,TA02839,General
GLOBAL TRAVEL MATE PTE. LTD.,159 YISHUN STREET 11 #06-162 SINGAPORE 760159,enquiry.gtm@gmail.com,+6594890922,,TA03971,General
GLOBAL TRAVEL PTE LTD,151 LORONG CHUAN #04-08 NEW TECH PARK SINGAPORE 556741,carol.ong@globaltravel.com.sg,+6562260960,https://www.globaltravel.com.sg,TA00232,General
GLOBAL TRAVEL RESERVATION SYSTEM PTE. LTD.,30 CECIL STREET #19-08 PRUDENTIAL TOWER SINGAPORE 049712,support@gtrsystem.com,+6586667670,https://www.gtrsystem.com,TA03048,General
GLOBALTIX PTE. LTD.,11 BISHAN STREET 21 #03-04 SINGAPORE 573943,enquiry@globaltix.com,+6588287595,https://www.globaltix.com,TA03367,General
HOCK TRAVEL PTE LTD,859A TAMPINES AVENUE 5 #03-605 TAMPINES PARKVIEW SINGAPORE 521859,hocktvl@hocktravel.com.sg,+6598480075,,TA00975,General
HOLIDAY TOURS & TRAVEL (SINGAPORE) PTE. LTD.,541 ORCHARD ROAD #15-01 LIAT TOWERS SINGAPORE 238881,sinadmin@holidaytours.net,+6562382811,,TA00754,General
HOLIDAY TOURS & TRAVEL PTE. LTD.,541 ORCHARD ROAD #15-01 LIAT TOWERS SINGAPORE 238881,sinadmin@holidaytours.net,+6567347091,,TA00085,General
HOLIDAYS WORLD PTE. LTD.,26 SIN MING LANE #05-124 MIDVIEW CITY SINGAPORE 573971,info@holidaysworld.com,+6563377526,,TA03816,General
HONEYWORLD HOLIDAYS PTE LTD,50 RAFFLES PLACE #03-02 SINGAPORE LAND TOWER SINGAPORE 048623,honeyworld@honeyworld.com.sg,+6565322232,https://www.honeyworldholidays.com/,TA00626,General
HONG CHOON TRAVEL (S) PTE. LTD.,196 WESTWOOD AVENUE #07-36 WESTWOOD RESIDENCES SINGAPORE 648153,hongchoontravel@gmail.com,+6597616797,,TA03660,General
HONG THAI TRAVEL SERVICES (S) PTE LTD,1 PARK ROAD #02-121 PEOPLE'S PARK COMPLEX SINGAPORE 059108,admin@hongthai.com.sg,+6565323223,https://www.hongthai.com.sg,TA00490,General
HONGDA HOLIDAYS PTE. LTD.,71 SULTAN GATE #01-06 SINGAPORE 198496,sales@hongdaholidays.com,+6565356778,https://www.hongdaholidays.com,TA02230,General
HONGKONG IEC (SINGAPORE) PTE. LTD.,47 MARINE CRESCENT #04-90 MARINE CRESCENT GARDENS SINGAPORE 440047,ask@hongkongiec.com,+6583746954,,TA03717,General
HORIZON FAST FERRY PTE. LTD.,1 MARITIME SQUARE #03-47 HARBOURFRONT CENTRE SINGAPORE 099253,info@horizonfastferry.com,+6562766711,https://www.horizonfastferry.com,TA02472,General
HOTEL AIRLINES SERVICES PTE LTD,101 UPPER CROSS STREET #03-02 PEOPLE'S PARK CENTRE SINGAPORE 058357,hotelairlines@gmail.com,+6593893629,,TA01047,General
HOTELBEDS PTE. LTD.,101 THOMSON ROAD #16-01 UNITED SQUARE SINGAPORE 307591,meeding.hoo@hotelbeds.com,+6596216011,,TA00632,General
HOTSENG BUSINESS & TRAVEL PTE. LTD.,21 WOODLANDS CLOSE #02-10 PRIMZ BIZHUB SINGAPORE 737854,hotsengsg@outlook.com,+6565385902,,TA02974,General
HTC TRAVEL PTE. LTD.,101 UPPER CROSS STREET #03-69 PEOPLE'S PARK CENTRE SINGAPORE 058357,travel@htc.com.sg,+6565341421,,TA00608,General
HTPL TOURS & TRAVELS PTE. LTD.,241 KIM KEAT LINK #05-185   SINGAPORE 310241,htpltour@yahoo.com,+6563377526,,TA03145,General
HASTRAS TRAVEL & TOURS PTE. LTD.,921 UPPER BUKIT TIMAH ROAD #03-09 SINGAPORE 678202,hastrastravel@gmail.com,+6581557311,,TA03374,General
HAYAT AR-RAHALAT PTE. LTD.,52 TELOK BLANGAH ROAD #02-07 TELOK BLANGAH HOUSE SINGAPORE 098829,hayatarrahalat@gmail.com,+6585056956,,TA04007,General
HD INTERNATIONAL TRAVEL SERVICES PTE. LTD.,60 PAYA LEBAR ROAD #07-54 PAYA LEBAR SQUARE SINGAPORE 409051,hu.junchao@hdtravelsg.com,+6596361040,,TA03564,General
HE TRAVEL PTE. LTD.,190 CLEMENCEAU AVENUE #06-08 SINGAPORE SHOPPING CENTRE SINGAPORE 239924,hetravel@yahoo.com.sg,+6567088272,,TA02433,General
HEADOUT SG PTE. LTD.,16 RAFFLES QUAY #09-01 HONG LEONG BUILDING SINGAPORE 048581,singapore@headout.com,+6531580736,,TA03839,General
HELLO LINGO PTE. LTD.,162 BUKIT MERAH CENTRAL #06-3545 SINGAPORE 150162,hello@lingo.sg,+6588214432,,TA03901,General
HENG ONG HUAT TRAVEL,16 LORONG 13 GEYLANG SINGAPORE 388659,hengonghuattravel@gmail.com,+6568464619,,TA03394,General
HERITAGE MANAGEMENT & CONSULTANCY SERVICES PTE. LTD.,78 BAYSHORE ROAD #21-21 COSTA DEL SOL SINGAPORE 469991,enquiry@pacifictrails.com.sg,+6562253773,https://www.pacifictrails.com.sg,TA01584,General
HERMITAGE EXPERIENCE PTE. LTD.,1 COLEMAN STREET #05-11C THE ADELPHI SINGAPORE 179803,enquiry@hermitagex.com,+6597434820,https://www.hermitagex.com,TA03670,General
HERMON GLOBAL TRAVEL PTE. LTD.,60 PAYA LEBAR ROAD #06-28 PAYA LEBAR SQUARE SINGAPORE 409051,info@hermontravel.asia,+6581894749,https://www.hermontravel.com,TA03842,General
HINS GLOBAL TRAVEL SERVICES PRIVATE LIMITED,424 ANG MO KIO AVENUE 3 #04-2402 CHONG BOON VIEW SINGAPORE 560424,contact@hinsgts.com,+6586947400,,TA03614,General
HISAR TRAVEL PTE. LTD.,55 LORONG L TELOK KURAU #04-65 BRIGHT CENTRE SINGAPORE 425500,info@hisartravel.sg,+6593581236,,TA03756,General
HL TRAVEL AND TOUR PTE. LTD.,10 JALAN BESAR #02-03  SIM LIM TOWER SINGAPORE 208787,bhuvana@hltravels.com.sg,+6590071224,https://hltravelandtour.com/,TA01931,General
HNK TOURS PTE LTD,6 ANGKLONG LANE #01-01 FABER GARDEN CONDOMINIUM SINGAPORE 579980,onghc@hnksin.com,+6564510939,,TA00811,General
HNT SG PTE. LTD.,10 ANSON ROAD #16-18 INTERNATIONAL PLAZA SINGAPORE 079903,singapore@hanatour.com,+6590091121,,TA03710,General
IDEAL TRAVEL & TOURS PTE. LTD.,1 PARK ROAD #02-45 PEOPLE'S PARK COMPLEX SINGAPORE 059108,sabrinaeng.ideal@gmail.com,+6593851570,,TA02868,General
IK CHIN TRAVEL SERVICE (SINGAPORE) PRIVATE LIMITED,101A UPPER CROSS STREET #13-09 PEOPLE'S PARK CENTRE SINGAPORE 058358,acc@ikchin.com.sg,+6562213727,https://www.ikchin.com.sg,TA00178,General
ILM TOURS PTE. LTD.,80 CHANGI ROAD #04-01 CENTROPOD @ CHANGI SINGAPORE 419715,admin@shameemsultanah.com,+6588502761,,TA03997,General
IMAAN TRAVEL & TOURS PTE. LTD.,116  Changi Road #02-04 WIS@CHANGI SINGAPORE 419718,inquiry@imaantravel.com,+6588119014,https://www.imaantravelandtours.com,TA03691,General
IMAN TRAVEL & SERVICES PTE. LTD.,60 KAKI BUKIT PLACE #09-15B EUNOS TECHPARK SINGAPORE 415979,info@imantravelservices.com,+6591077607,https://www.imantravelservices.com,TA03705,General
IMPRESSION NAN YANG TRAVEL GROUP PTE. LTD.,3 LORONG 42 GEYLANG #07-09 ASTON MANSIONS SINGAPORE 398026,info@inytravelsg.com,+6589131217,,TA03999,General
INCREDIBLE ODYSSEY PTE. LTD.,90 HILLVIEW AVENUE #09-02 HILLBROOKS SINGAPORE 669610,irvinders@incredibleodyssey.com,+6565273816,,TA02478,General
INCREDIBLE VOYAGES PTE. LTD.,10 RAEBURN PARK #02-08 SINGAPORE 088702,info@incrediblevoyages.com,+6569933691,https://www.incrediblevoyages.com,TA02947,General
INDIE SINGAPORE TOURS LLP,475 PASIR RIS DRIVE 6 #09-558 HDB-PASIR RIS SINGAPORE 510475,info@indiesingapore.com,+6596430989,https://indiesingapore.com,TA03178N,Niche
INDOCHINA HOLIDAY PTE. LTD.,48 SPOTTISWOODE PARK ROAD #08-03 SPOTTISWOODE RESIDENCES SINGAPORE 088660,office@indochina.holiday,+6596470078,,TA03509,General
INFINIZ TOURS PTE. LTD.,73 PUNGGOL CENTRAL #06-72 WATERTOWN SINGAPORE 828756,info@infiniztours.com,+6598185616,,TA03978,General
INNOTREK PTE. LTD.,2 GAMBAS CRESCENT #06-14 NORDCOM TWO SINGAPORE 757044,info@innotrek.com.sg,+6567778769,https://www.innotrek.rocks,TA01553,General
INQBAYTOR PTE. LTD.,3 COLEMAN STREET #02-04 PENINSULA SHOPPING COMPLEX SINGAPORE 179804,info@inqbaytor.asia,+6589198240,,TA03877,General
INSIGHT TRAVELLER PTE. LTD.,1 COMMONWEALTH LANE #07-14 ONE COMMONWEALTH SINGAPORE 149544,mien@exploreinsighttraveller.com,+6562990830,,TA02095,General
INTERNATIONAL BIBLE EXPERIENCES PTE. LTD.,7 ARMENIAN STREET #04-02 BIBLE HOUSE SINGAPORE 179932,info@ibex.sg,+6563043762,https://www.ibex.sg,TA02822,General
HUA XING INTERNATIONAL BUSINESS (SINGAPORE) PTE. LTD.,1 LIANG SEAH STREET #02-02 LIANG SEAH PLACE SINGAPORE 189022,huaxinginternationalbusiness@gmail.com,+6585508923,,TA03742,General
HUBBAGOLF PTE. LTD.,1 QUEENSWAY #02-45B QUEENSWAY SHOPPING CENTRE SINGAPORE 149053,customerservice@hubbagolf.com,+6582097884,,TA03893,General
HULM HIJRAH & TOURS PTE. LTD.,491F TAMPINES STREET 45 #03-250 SINGAPORE 525491,office@hulmhijrah.co,+6586081217,https://www.hulmhijrah.co,TA03613,General
HUP ANN TRAVEL PTE LTD,8 TEMASEK BOULEVARD #42-00 SUNTEC TOWER THREE SINGAPORE 038988,info@hupann.com.sg,+6596825884,https://www.hupann.com.sg,TA00538,General
HUSAINI TRAVELS & TOURS PTE. LTD.,55 CHANGI ROAD #02-09 MILLAGE SINGAPORE 419709,husaini@husaini-travels.com,+6567412490,https://www.husaini-travels.com,TA03553,General
HUTCHISON TRAVEL (HK) LIMITED,300 BEACH ROAD #39-01/04 THE CONCOURSE SINGAPORE 199555,cs.sg@hutchgo.com,+6585231920900,https://www.hutchgo.com.sg,TA01195,General
HY-TECHLINK INTERNATIONAL PTE. LTD.,92A SYED ALWI ROAD #02-03 SINGAPORE 207668,travel.hytech@gmail.com,+6596133382,,TA02526,General
I HOLIDAYS TRAVEL PRIVATE LIMITED,119 ALJUNIED AVENUE 2 #01-22 SINGAPORE 380119,sales@iholidays.com.sg,+6567489385,,TA02673,General
I QUADRANT TRAVEL PTE. LTD.,11B HAMILTON ROAD SINGAPORE 209182,iquadranttravel@gmail.com,+6598909945,,TA03759,General
I TRAVELING PTE. LTD.,116 MIDDLE ROAD #03-01 ICB ENTERPRISE HOUSE SINGAPORE 188972,finance.itravels@gmail.com,+6560380455,https://www.itravels.com.sg,TA01022,General
I-ASIA TRAVEL MANAGEMENT PTE. LTD.,658 WOODLANDS RING ROAD #04-114   SINGAPORE 730658,info@i-asia.com.sg,+6597890336,https://www.i-asia.com.sg,TA02338,General
I-C-I-D PTE. LTD.,41 HUME AVENUE #03-10 SYMPHONY HEIGHTS SINGAPORE 598738,toyotugle@gmail.com,+6581257778,,TA01989,General
IBIBO GROUP PTE. LIMITED,20 BENDEMEER ROAD #05-09 BS BENDEMEER CENTRE SINGAPORE 339914,compliance@go-mmt.com,+6567332808,https://www.redbus.sg,TA03130,General
ICE HOLIDAYS (S) PTE. LTD.,2 HAVELOCK ROAD #07-10 HAVELOCK2 SINGAPORE 059763,tjunkyet.kwa@ice-holidays.com,+6569573333,,TA03836,General
ICONIC BUSINESS CORPORATION PTE. LTD.,101 KITCHENER ROAD #02-31B JALAN BESAR PLAZA SINGAPORE 208511,iconicbusiness.sin@gmail.com,+6593526791,,TA03192,General
HABIB TRAVEL AND TOURS PTE. LTD.,16 DESKER ROAD #02-02 SINGAPORE 209555,habibtravels2020@gmail.com,+6564876527,,TA03465,General
HABIBI TRAVEL AND TOURS PTE. LTD.,28 BUSSORAH STREET SINGAPORE 199446,salamhabibitravel@gmail.com,+6587897226,,TA03946,General
HAGEL TRAVEL & TOURS PTE LTD,5 JALAN PISANG SINGAPORE 199072,sales@hageltravel.com,+6567441711,https://www.hageltravel.com,TA01144,General
HAHNEMANN TRAVEL & TOURS PTE LTD,60 PAYA LEBAR ROAD #12-42 PAYA LEBAR SQUARE SINGAPORE 409051,sales@hahnemanntravel.com.sg,+6567491131,https://www.hahnemanntravel.com.sg,TA00720,General
HALALTRIP PTE. LTD.,80 CHANGI ROAD #05-12 CENTROPOD SINGAPORE 419715,info@halaltrip.com,+6597294638,https://www.halaltrip.com,TA02786,General
HALIJAH TRAVELS PTE LTD,22 KANDAHAR STREET KAMPONG GLAM CONSERVATION AREA SINGAPORE 198886,corporate@halijah.com.sg,+6562949676,https://www.halijah.com.sg,TA00740,General
HAMIDAH TRAVEL & TOURS PTE. LTD.,390 VICTORIA STREET #03-54   SINGAPORE 188061,info@hamidahtravel.com.sg,+6563965108,https://www.hamidahtravel.com.sg,TA01354,General
HANKYU TRAVEL INTERNATIONAL SINGAPORE PTE. LTD.,65 CHULIA STREET #46-01 OCBC CENTRE SINGAPORE 049513,hsgmain@hankyu-sin.com,+6568845917,,TA02611,General
HAPI ROAM PTE. LTD.,109 NORTH BRIDGE ROAD #05-21 FUNAN SINGAPORE 179097,hello@hapiroam.com,+6588611692,,TA03865,General
HAPI TRAVEL PTE. LTD.,9 TEMASEK BOULEVARD #16-04 SUNTEC TOWER TWO SINGAPORE 038989,hapitravel@alsetinternational.com,+6563339181,,TA03737,General
HAPPY GO TRAVEL TRANSPORT AGENCY,3011 BEDOK INDUSTRIAL PARK E #01-2010 SINGAPORE 489977,general@happygotravelsg.com,+6580515168,,TA03952,General
HAPPY WANDERER INTERNATIONAL TRAVEL AGENCY PTE. LTD.,10 ANSON ROAD #05-00 INTERNATIONAL PLAZA SINGAPORE 079903,yangiing5601265@gmail.com,+6569799351,,TA03933,General
HAPPY YOU TRAVEL SERVICES PTE. LTD.,1 PARK ROAD #01-K95C PEOPLE'S PARK COMPLEX SINGAPORE 059108,happyyou.ts@hotmail.com,+6565366766,,TA02544,General
HAPPYEASYGO SINGAPORE TRAVEL PTE. LTD.,9 TEMASEK BOULEVARD #07-01 SUNTEC TOWER TWO SINGAPORE 038989,ta_contact@happyeasygo.com,+6596791665,,TA03921,General
HARVEST TRAVEL PTE. LTD.,408 JURONG WEST STREET 42 #02-671 HONG KAH COURT SINGAPORE 640408,harvesttravelsin@gmail.com,+6565630349,,TA01702,General
JA TRAVEL PTE LTD,100 JALAN SULTAN #04-10 SULTAN PLAZA SINGAPORE 199001,info@ja-travel.com,+6565344740,https://www.ja-travel.com,TA00945,General
JAC TRAVEL PTE LTD,318 TANGLIN ROAD #01-61   SINGAPORE 247979,jacsa@singnet.com.sg,+6562210031,https://www.jactravel.com.sg,TA01031,General
JACQTOURS PTE. LTD.,1 SCOTTS ROAD #24-10 SHAW CENTRE SINGAPORE 228208,info@jacqtours.com,+6596454825,https://www.jacqtours.com,TA02347,General
JALALUDDIN TRAVEL & SERVICES PTE. LTD.,448 CHANGI ROAD #01-01 WISMA INDAH SINGAPORE 419975,info@jalaluddintravel.com,+6563443669,https://www.jalaluddintravel.com,TA01739,General
JAMBO JOURNEYS PTE. LTD.,273 Choa Chu Kang Avenue 2 #04-247 SINGAPORE 680273,jambojourneys.cbe@gmail.com,+6564654030,,TA03644,General
JANE'S SINGAPORE TOURS PTE. LTD.,15 CLEMENTI CRESCENT CLEMENTI GREEN SINGAPORE 599518,info@janestours.sg,+6597320706,https://www.janestours.sg,TA03363N,Niche
JANE'S TRAVEL PRIVATE LIMITED,52 ANCHORVALE CRESCENT #14-07 TREASURE CREST SINGAPORE 544630,janetravelsingapore@icloud.com,+6590665255,,TA03785,General
JANNAH TRAVEL & TOURS PTE. LTD.,55 CHANGI ROAD #B1-28 MILLAGE SINGAPORE 419709,jannahtravelsg@gmail.com,+6565179557,,TA03765,General
JAP AIR TOURS PTE. LTD.,92A SYED ALWI ROAD #02-10 SINGAPORE 207668,japair@japtours.com,+6562922829,,TA01392,General
JAPAN TOURS (PRIVATE) LIMITED,1 COLEMAN STREET #09-04 THE ADELPHI SINGAPORE 179803,cindy@jta.biz,+6563333033,,TA00115,General
JAPANTICKET ASIA PACIFIC PTE. LTD.,10 ANSON ROAD #05-00 INTERNATIONAL PLAZA SINGAPORE 079903,contact@japanticket.com,+6587994177,,TA03909,General
JARTA (S) PTE. LTD.,2 HAVELOCK ROAD #07-01 HAVELOCK2 SINGAPORE 059763,jarta_singapore@hotmail.com,+6597270406,https://jarta.com.sg/,TA02919,General
JE ANN INTERNATIONAL PTE. LTD.,111 NORTH BRIDGE ROAD #05-60A PENINSULA PLAZA SINGAPORE 179098,jecoint@yahoo.com.sg,+6563340018,,TA01205,General
JESAL BROTHERS TOURS & TRAVEL PTE LTD,51 TRURO ROAD SINGAPORE 217588,rekha@jesal.com,+6563383955,,TA00368,General
JETSPEED TRAVEL PRIVATE LIMITED,3 COLEMAN STREET #03-07/08 PENINSULA SHOPPING COMPLEX SINGAPORE 179804,cindy@jetspeed.com.sg,+6563394341,,TA00264,General
